,tourney_name,surface,winner_name,loser_name,score,w_ace,w_df,w_1stIn,w_1stWon,w_2ndWon,l_ace,l_df,l_1stIn,l_1stWon,l_2ndWon,result
2601,Vienna,Hard,Jannik Sinner,Frances Tiafoe,6-3 6-4,5.0,1.0,38.0,32.0,12.0,6.0,2.0,31.0,20.0,14.0,1
2609,Vienna,Hard,Jannik Sinner,Lorenzo Sonego,6-2 6-4,1.0,0.0,48.0,35.0,6.0,6.0,2.0,41.0,25.0,11.0,1
2625,Vienna,Hard,Jannik Sinner,Ben Shelton,7-6(2) 7-5,8.0,1.0,57.0,48.0,8.0,11.0,4.0,44.0,38.0,16.0,1
2626,Vienna,Hard,Jannik Sinner,Daniil Medvedev,7-6(7) 4-6 6-3,5.0,0.0,86.0,55.0,16.0,13.0,8.0,88.0,57.0,18.0,1
2636,Paris Masters,Hard,Alex De Minaur,Jannik Sinner,W/O,,,,,,,,,,,0
2646,Paris Masters,Hard,Jannik Sinner,Mackenzie Mcdonald,6-7(6) 7-5 6-1,4.0,2.0,48.0,41.0,23.0,8.0,2.0,60.0,38.0,18.0,1
2736,Tour Finals,Hard,Novak Djokovic,Jannik Sinner,6-3 6-3,13.0,0.0,32.0,29.0,9.0,8.0,1.0,49.0,28.0,12.0,0
2737,Tour Finals,Hard,Jannik Sinner,Daniil Medvedev,6-3 6-7(4) 6-1,10.0,2.0,60.0,50.0,21.0,10.0,2.0,55.0,44.0,12.0,1
2739,Tour Finals,Hard,Jannik Sinner,Novak Djokovic,7-5 6-7(5) 7-6(2),15.0,2.0,71.0,56.0,26.0,20.0,1.0,63.0,51.0,22.0,1
2742,Tour Finals,Hard,Jannik Sinner,Stefanos Tsitsipas,6-4 6-4,9.0,2.0,36.0,32.0,9.0,6.0,0.0,37.0,26.0,14.0,1
2743,Tour Finals,Hard,Jannik Sinner,Holger Rune,6-2 5-7 6-4,11.0,0.0,49.0,41.0,21.0,15.0,3.0,70.0,50.0,16.0,1
2815,Davis Cup Finals F: AUS vs ITA,Hard,Jannik Sinner,Alex De Minaur,6-3 6-0,5.0,1.0,34.0,25.0,7.0,2.0,1.0,33.0,18.0,9.0,1
2823,Davis Cup Finals QF: ITA vs NED,Hard,Jannik Sinner,Tallon Griekspoor,7-6(3) 6-1,9.0,1.0,32.0,29.0,15.0,7.0,1.0,42.0,26.0,11.0,1
2825,Davis Cup Finals SF: ITA vs SRB,Hard,Jannik Sinner,Novak Djokovic,6-2 2-6 7-5,12.0,5.0,67.0,48.0,17.0,6.0,1.0,46.0,35.0,18.0,1
