,player_name,total_matches,total_wins,win_pct,Clay,Grass,Hard,clay_advantage,grass_advantage,hard_advantage
276,Marcelo Demoliner,1,0,0.0,0.0,0.0,0.0,,,
277,Marco Cecchinato,26,11,0.4230769230769231,10.0,0.0,1.0,0.9090909090909091,0.0,0.09090909090909091
278,Marco Trungelliti,1,0,0.0,0.0,0.0,0.0,,,
279,Marcos Giron,53,24,0.4528301886792453,7.0,1.0,16.0,0.2916666666666667,0.041666666666666664,0.6666666666666666
280,Marin Cilic,3,1,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0
281,Mark Lajal,2,1,0.5,0.0,0.0,1.0,0.0,0.0,1.0
282,Marko Topo,1,0,0.0,0.0,0.0,0.0,,,
283,Martin Landaluce,2,0,0.0,0.0,0.0,0.0,,,
284,Martins Rocens,1,0,0.0,0.0,0.0,0.0,,,
285,Marton Fucsovics,44,22,0.5,4.0,5.0,13.0,0.18181818181818182,0.22727272727272727,0.5909090909090909
286,Mate Valkusz,2,1,0.5,0.0,0.0,1.0,0.0,0.0,1.0
287,Mateus Alves,1,0,0.0,0.0,0.0,0.0,,,
288,Matheus Pucinelli De Almeida,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
289,Mathias Bourgue,1,0,0.0,0.0,0.0,0.0,,,
290,Matic Kriznik,1,0,0.0,0.0,0.0,0.0,,,
291,Matija Pecotic,2,1,0.5,0.0,0.0,1.0,0.0,0.0,1.0
292,Matteo Arnaldi,35,20,0.5714285714285714,9.0,0.0,11.0,0.45,0.0,0.55
293,Matteo Berrettini,24,12,0.5,2.0,3.0,7.0,0.16666666666666666,0.25,0.5833333333333334
294,Matteo Martineau,1,0,0.0,0.0,0.0,0.0,,,
295,Mattia Bellucci,1,0,0.0,0.0,0.0,0.0,,,
296,Matwe Middelkoop,1,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0
297,Max Hans Rehberg,1,0,0.0,0.0,0.0,0.0,,,
298,Max Purcell,30,10,0.3333333333333333,2.0,0.0,8.0,0.2,0.0,0.8
299,Maxime Cressy,29,9,0.3103448275862069,0.0,1.0,8.0,0.0,0.1111111111111111,0.8888888888888888
300,Maximilian Marterer,15,9,0.6,2.0,2.0,5.0,0.2222222222222222,0.2222222222222222,0.5555555555555556
301,Menelaos Efstathiou,2,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0
302,Michael Agwi,1,0,0.0,0.0,0.0,0.0,,,
303,Michael Mmoh,23,13,0.5652173913043478,0.0,1.0,12.0,0.0,0.07692307692307693,0.9230769230769231
304,Michail Pervolarakis,1,0,0.0,0.0,0.0,0.0,,,
305,Mikael Ymer,27,12,0.4444444444444444,1.0,4.0,7.0,0.08333333333333333,0.3333333333333333,0.5833333333333334
306,Mikhail Kukushkin,3,1,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0
