,player_name,surface,cluster
475,Guido Andreozzi,Hard,1
93,Guido Pella,Clay,2
277,Guido Pella,Grass,2
476,Guido Pella,Hard,0
94,Hamad Medjedovic,Clay,0
278,Hamad Medjedovic,Grass,0
477,Hamad Medjedovic,Hard,2
279,Harold Mayot,Grass,0
478,Harold Mayot,Hard,1
95,Henrique Rocha,Clay,0
96,Holger Rune,Clay,1
280,Holger Rune,Grass,0
479,Holger Rune,Hard,2
97,Hubert Hurkacz,Clay,1
281,Hubert Hurkacz,Grass,0
480,Hubert Hurkacz,Hard,2
98,Hugo Dellien,Clay,2
282,Hugo Dellien,Grass,1
481,Hugo Dellien,Hard,1
99,Hugo Gaston,Clay,0
482,Hugo Gaston,Hard,0
100,Hugo Grenier,Clay,0
483,Illya Marchenko,Hard,0
101,Ilya Ivashka,Clay,2
283,Ilya Ivashka,Grass,1
484,Ilya Ivashka,Hard,1
102,Ivan Gakhov,Clay,0
103,J J Wolf,Clay,1
284,J J Wolf,Grass,0
485,J J Wolf,Hard,0
104,Jack Draper,Clay,2
486,Jack Draper,Hard,2
105,Jack Sock,Clay,0
487,Jack Sock,Hard,0
488,Jacopo Berrettini,Hard,1
489,Jakub Mensik,Hard,2
285,James Duckworth,Grass,1
490,James Duckworth,Hard,0
106,Jan Choinski,Clay,2
286,Jan Choinski,Grass,2
107,Jan Lennard Struff,Clay,1
287,Jan Lennard Struff,Grass,0
491,Jan Lennard Struff,Hard,2
108,Jannik Sinner,Clay,1
288,Jannik Sinner,Grass,0
492,Jannik Sinner,Hard,2
493,Jason Jung,Hard,0
109,Jason Kubler,Clay,2
289,Jason Kubler,Grass,1
494,Jason Kubler,Hard,2
110,Jaume Munar,Clay,2
290,Jaume Munar,Grass,1
495,Jaume Munar,Hard,2
496,Jenson Brooksby,Hard,0
111,Jeremy Chardy,Clay,0
291,Jeremy Chardy,Grass,1
497,Jeremy Chardy,Hard,1
112,Jesper De Jong,Clay,0
498,Jie Cui,Hard,0
113,Jiri Lehecka,Clay,2
292,Jiri Lehecka,Grass,0
499,Jiri Lehecka,Hard,2
114,Jiri Vesely,Clay,1
293,Jiri Vesely,Grass,0
500,Jiri Vesely,Hard,2
115,Joao Fonseca,Clay,0
116,Joao Sousa,Clay,0
501,Joao Sousa,Hard,2
117,John Isner,Clay,1
294,John Isner,Grass,0
502,John Isner,Hard,2
503,John Millman,Hard,1
118,Jordan Thompson,Clay,1
295,Jordan Thompson,Grass,0
504,Jordan Thompson,Hard,0
119,Jozef Kovalik,Clay,2
120,Juan Manuel Cerundolo,Clay,2
296,Juan Manuel Cerundolo,Grass,1
505,Juan Manuel Cerundolo,Hard,1
121,Juan Pablo Varillas,Clay,2
297,Juan Pablo Varillas,Grass,1
506,Juan Pablo Varillas,Hard,0
122,Juncheng Shang,Clay,2
507,Juncheng Shang,Hard,0
123,Jurij Rodionov,Clay,1
508,Jurij Rodionov,Hard,2
509,Kacper Zuk,Hard,1
124,Karen Khachanov,Clay,1
510,Karen Khachanov,Hard,2
511,Karl Friberg,Hard,2
512,Kei Nishikori,Hard,2
298,Kevin Anderson,Grass,0
513,Kevin Anderson,Hard,1
299,Kimmer Coppejans,Grass,2
514,Kimmer Coppejans,Hard,2
515,Kiranpal Pannu,Hard,1
125,Kyle Edmund,Clay,2
516,Kyle Edmund,Hard,0
126,Laslo Djere,Clay,1
300,Laslo Djere,Grass,0
